ID,Station,Lat,Long,Lines,Step free Info,Borough,Zones,Opening date,Other names
Becontree,Becontree,51.54029,0.1262,District,,Barking and Dagenham,5,18 July 1932,Gale Street: 1926–32
Belsize_Park,Belsize Park,51.55036,-0.16465,Northern,,Camden,2,22 June 1907,Belsize: Proposed before opening
Bermondsey,Bermondsey,51.49813,-0.0635,Jubilee,,Southwark,2,17 September 1999,
Bethnal_Green_central,Bethnal Green,51.52718,-0.05504,"Central, Overground",No,Tower Hamlets,2,4 December 1946,Bethnal: Proposed before opening
Bethnal_Green_overground,Bethnal Green,51.52718,-0.05504,"Central, Overground",No,Tower Hamlets,2,4 December 1946,Bethnal: Proposed before opening
Blackfriars,Blackfriars,51.5114403,-0.1041905,"Circle, District",,City of London,1,30 May 1870,
Blackhorse_Road,Blackhorse Road,51.58698,-0.04104,Victoria,,Waltham Forest,3,1 September 1968,
Blackwall,Blackwall,51.507903,-0.007438,DLR,All DLR stations are step-free.,Tower Hamlets,2,28 March 1994[6],–
Bond_Street,Bond Street,51.51461,-0.14897,"Central, Jubilee, Elizabeth",No,City of Westminster,1,24 September 1900,Davies Street: Proposed before openingSelfridge's: Proposed in 1909
Bond_Street_cr,Bond Street,51.51461,-0.14897,"Central, Jubilee, Elizabeth",No,City of Westminster,1,24 September 1900,Davies Street: Proposed before openingSelfridge's: Proposed in 1909
Borough,Borough,51.50095,-0.09446,Northern,,Southwark,1,18 December 1890,
Boston_Manor,Boston Manor,51.495371,-0.325573,Piccadilly,,EalingHounslow,4,1 May 1883,Boston Road: 1883–1911
Bounds_Green,Bounds Green,51.607,-0.12418,Piccadilly,,Haringey,3 & 4,19 September 1932,Brownlow Road: Proposed before opening
Bow_Church,Bow Church,51.5289,-0.021,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],Bow Road[7]
Bow_Road,Bow Road,51.52709,-0.02482,"District, Hammersmith & City",,Tower Hamlets,2,11 June 1902,
Brent_Cross,Brent Cross,51.57693,-0.21414,Northern,,Barnet,3,19 November 1923,Woodstock: Proposed before openingBrent: 1923–76
Brentwood,Elizabeth,,,Elizabeth,,,9,,
Brixton,Brixton,51.46239,-0.115421,Victoria,,Lambeth,2,23 July 1971,
Brockley,Brockley,,,London Overground,,,2,,
Bromley-by-Bow_district,Bromley-by-Bow,51.52466,-0.01282,"District, Hammersmith & City",,Tower Hamlets,2 & 3,2 June 1902,Bromley: 1858–1968
Bromley-by-Bow_hnc,Bromley-by-Bow,51.52466,-0.01282,"District, Hammersmith & City",,Tower Hamlets,2 & 3,2 June 1902,Bromley: 1858–1968
Brondesbury,Brondesbury,51.54505,-0.20297,London Overground,,Tower Hamlets,2 & 3,2 June 1902,Bromley: 1858–1968
Brondesbury_Park,Brondesbury Park,51.5406,-0.21093,London Overground,,Tower Hamlets,2 & 3,2 June 1902,Bromley: 1858–1968
Bruce_Grove,Bruce Grove,,,London Overground,,,3,,
Buckhurst_Hill,Buckhurst Hill,51.62611,0.04705,Central,,Epping Forest,5,21 November 1948,
Burnham,Burnham,,,Elizabeth,,,,,
Burnt_Oak,Burnt Oak,51.603,-0.26427,Northern,,Barnet,4,27 October 1924,Sheaves Hill/Orange Hill/Deansbrook: Proposed before openingBurnt Oak: 1924–28Burnt Oak (Watling): 1928– suffix gradually dropped
Bush_Hill_Park,Bush HIll Park,,,London Overground,,,5,,
Bushey,Bushey,,,London Overground,,,8,,
Caledonian_Road,Caledonian Road,51.5485,-0.11802,Piccadilly,,Islington,2,15 December 1906,Barnsbury: Proposed before opening
Caledonian_Road_and_Barnsbury,Caledonian Road & Barnesbury,51.54326,-0.11544,London Overground,,Islington,2,15 December 1906,Barnsbury: Proposed before opening
Cambridge_Heath,Cambridge Heath,,,London Overground,,,2,,
Camden_Road,Camden Road,51.54192,-0.13981,London Overground,,Islington,2,15 December 1906,Barnsbury: Proposed before opening
Camden_Town,Camden Town,51.5393,-0.14316,Northern,No,Camden,2,22 June 1907,Camden Road: Proposed before opening
Canada_Water,Canada Water,51.49787 +/- 0.000011 (from 3 readings),-0.04967 +/- 0.000008 (from 3 readings),East London,,Southwark,2,17 September 1999,
Canary_Wharf_dlr,Canary Wharf,51.505946,-0.020493,DLR,All DLR stations are step-free.,Tower Hamlets,2,November 1991[12] [13][14],Canary Quay[15]
Canary_Wharf_elizabeth,Canary Wharf,51.50362,-0.01987,Elizabeth,,Tower Hamlets,2,17 September 1999,
Canary_Wharf_jubilee,Canary Wharf,51.50362,-0.01987,Jubilee,Unsure (JLE as a whole was built with step free?),Tower Hamlets,2,17 September 1999,
Canning_Town,Canning Town,51.51388,0.008876,DLR,All DLR stations are step-free.,Tower Hamlets,2,November 1991[12] [13][14],Canary Quay[15]
Cannon_Street,Cannon Street,51.51141,-0.09047,"Circle, District",,City of London,1,6 October 1884,
Canonbury,Canonbury,51.54822,-0.09632,London Overground,,City of London,1,6 October 1884,
Canons_Park,Canons Park,51.6081,-0.29487,Jubilee,,Harrow,5,10 December 1932,Canons Park (Edgware): 1932–33
Carpenders_Park,Carpenders Park,,,London Overground,,,7,,
Chadwell_Heath,Chadwell Heath,,,Elizabeth,,,5,,
Chalfont_and_Latimer,Chalfont & Latimer,51.66822,-0.56053,Metropolitan,No,Buckinghamshire,8,8 July 1889,Chalfont Road: 1889–1915
Chalk_Farm,Chalk Farm,51.5439,-0.15384,Northern,,Camden,2,22 June 1907,Adelaide Road: Proposed before opening
Chancery_Lane,Chancery Lane,51.51836,-0.11115,Central,,City of LondonCamden,1,30 July 1900,Chancery Lane: 1900–34Chancery Lane (Grays Inn): 1934– suffix gradually dropped
Charing_Cross,Charing Cross,51.507108,-0.122963,"Bakerloo, Northern",,City of Westminster,1,10 March 1906,Trafalgar Square (Bakerloo line): 1906–79Charing Cross (Northern line): 1907–14Charing Cross (Strand) (Northern line): 1914–15Strand (Northern line): 1915–79
Chesham,Chesham,51.70522733,-0.610986426,Metropolitan,Yes (Single platform accessed on flat),Buckinghamshire,9,8 July 1889,
Cheshunt,Cheshunt,,,London Overground,,,8,,
Chigwell,Chigwell,51.61795,0.07511,Central,,Epping Forest,4,21 November 1948,
Chingford,Chingford,,,London Overground,,,5,,
Chiswick_Park,Chiswick Park,51.49466,-0.26866,District,,Ealing,3,1 July 1879,Acton Green: 1879–87Chiswick Park & Acton Green: 1887–1910
Chorleywood,Chorleywood,51.65429872,-0.518373353,Metropolitan,No (Subway between N/B & S/B),Three Rivers,7,8 July 1889,Chorley Wood 1889–1915Chorley Wood & Chenies: 1915–34Chorley Wood: 1934–64
Clapham_Common,Clapham Common,51.46156,-0.13802,Northern,,Lambeth,2,3 June 1900,
Clapham_High_Street,Clapham High Street,,,London Overground,,,2,,
Clapham_Junction,Clapham Junction,,,London Overground,,,2,,
Clapham_North,Clapham North,51.46522,-0.1295,Northern,,Lambeth,2,3 June 1900,Clapham Road: 1900–26
Clapham_South,Clapham South,51.45292257,-0.147562148,Northern,,Wandsworth,2 & 3,13 September 1926,Nightingale Lane: Proposed before opening
Clapton,Clapton,,,London Overground,,,2 & 3,,
Cockfosters,Cockfosters,51.65117,-0.14811,Piccadilly,,Enfield,5,31 July 1933,Trent Park: Proposed before opening
Colindale,Colindale,51.59556,-0.24996,Northern,,Barnet,4,18 August 1924,
Colliers_Wood,Colliers Wood,51.41823649,-0.17800983,Northern,,Merton,3,13 September 1926,
Covent_Garden,Covent Garden,51.51308,-0.12427,Piccadilly,Unsure ( has Lifts ),City of Westminster,1,11 April 1907,
Crossharbour,Crossharbour,51.495086,-0.014543,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],"East Ferry Road, Glengall Grove,[19] Crossharbour & London Arena[8]"
Crouch_Hill,Crouch Hil,,,London Overground,,,2,,
Croxley,Croxley,51.64733268,-0.441479115,Metropolitan,No ( Stairs from Platform level to booking hall),Three Rivers,7,2 November 1925,Croxley Green: 1925–49
Crystal_Palace,Crystal Palace,,,London Overground,,,3 & 4,,
Custom_House_for_ExCeL,Custom House,51.509731,0.026013,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],"East Ferry Road, Glengall Grove,[19] Crossharbour & London Arena[8]"
Cutty_Sark_for_Maritime_Greenwich,Cutty Sark,51.481713,-0.010811,DLR,All DLR stations are step-free.,Newham,3,28 March 1994[6],Custom House
Cyprus,Cyprus,51.50836,0.06399,DLR,All DLR stations are step-free.,Newham,3,28 March 1994[6],–
Dagenham_East,Dagenham East,51.54396,0.16439,District,,Barking and Dagenham,5,2 June 1902,Dagenham: 1888–1949
Dagenham_Heathway,Dagenham Heathway,51.54173,0.14543,District,,Barking and Dagenham,5,12 September 1932,Heathway: 1932–1949
Dalston_Junction,Dalston Junction,,,London Overground,,,2,,
Dalston_Kingsland,Dalston Kingsland,,,London Overground,,,2,,
Debden,Debden,51.64535,0.08364,Central,,Epping Forest,6,25 September 1949,Chigwell Road: 1865Chigwell Lane: 1865–1949
Denmark_Hill,Denmark Hill,,,London Overground,,,2,,
Deptford_Bridge,Deptford Bridge,51.478016,-0.022496,DLR,All DLR stations are step-free.,Lewisham,2 & 3,20 November 1999[6],Deptford Creek[20]
Devons_Road,Devons Road,51.522274,-0.01708,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],–
Dollis_Hill,Dollis Hill,51.5525,-0.23884,Jubilee,,Brent,3,1 October 1909,
Ealing_Broadway,Ealing Broadway,51.51482,-0.30118,"Central, District",,Ealing,3,1 July 1879,
Ealing_Common,Ealing Common,51.50997,-0.28825,"District, Piccadilly",,Ealing,3,1 July 1879,Ealing Common: 1879–86Ealing Common and West Acton 1886–1910
Earls_Court,Earl's Court,51.491521,-0.193906,"District, Piccadilly",,Kensington and Chelsea,1 & 2,30 October 1871resited 1 February 1878,
East_Acton,East Acton,51.51753,-0.24827,Central,,Hammersmith and Fulham,2,3 August 1920,
East_Finchley,East Finchley,51.58729747,-0.1649563231,Northern,,Barnet,3,3 July 1939,
East_Ham_district,East Ham,51.53931,0.0526,"District, Hammersmith & City",,Newham,3 & 4,2 June 1902,
East_Ham_hnc,East Ham,51.53931,0.0526,"District, Hammersmith & City",,Newham,3 & 4,2 June 1902,
East_India,East India,51.509516,-0.002128,DLR,All DLR stations are step-free.,Tower Hamlets,2 & 3,28 March 1994[6],"Brunswick, Brunswick Wharf[21]"
East_Putney,East Putney,51.459015,-0.211138,District,,Wandsworth,2 & 3,3 June 1889,
Eastcote_metropolitan,Eastcote,51.57676,-0.39629,"Metropolitan, Piccadilly",,Hillingdon,5,26 May 1906,
Eastcote_piccadilly,Eastcote,51.57676,-0.39629,"Metropolitan, Piccadilly",,Hillingdon,5,26 May 1906,
Edgware,Edgware,51.61385,-0.27515,Northern,No (Stairs from Booking Hall to platforms),Barnet,5,18 August 1924,
Edgware_Road_bakerloo,Edgware Road (Bakerloo Line),51.51956,-0.169068,Bakerloo,No (Escalator to platforms),City of Westminster,1,1 October 1863,
Edgware_Road_circle,Edgware Road (Circle Line),51.520195,-0.166986,"Circle, District, Hammersmith & City",No (Stairs between platform and Booking hall),City of Westminster,1,1 October 1863,
Edmonton_Green,Edmonton Green,,,London Overground,,,4,,
Elephant_And_Castle,Elephant & Castle,51.49467,-0.10047,"Bakerloo, Northern",,Southwark,1 & 2,18 December 1890,
Elm_Park,Elm Park,51.54969,0.19779,District,,Havering,6,13 May 1935,
Elverson_Road,Elverson Road,51.468768,-0.016265,DLR,All DLR stations are step-free.,Greenwich,2 & 3,20 November 1999[6],–
Embankment,Embankment,51.50717,-0.12195,"Bakerloo, Circle, District, Northern",,City of Westminster,1,30 May 1870,Charing Cross (District line): 1870–1915Embankment (Bakerloo line): 1906–14Charing Cross (Embankment) (Bakerloo & Northern lines): 1914–15Charing Cross: 1915–74Charing Cross Embankment: 1974–6
Emerson_Park,Emerson Park,,,London Overground,,,6,,
Enfield_Town,Enfield Town,,,London Overground,,,5,,
Epping,Epping,51.69365,0.11495,Central,,Epping Forest,6,25 September 1949,
Euston_Northern_Victoria,Euston,51.52774,-0.13303,"Northern, Victoria, London Overground",Unsure (Escalators to mainline station),Camden,1,22 June 1907,Melton Street: Proposed before opening
Euston_Overground_NR,Euston,51.52774,-0.13303,"Northern, Victoria, London Overground",Unsure (Escalators to mainline station),Camden,1,22 June 1907,Melton Street: Proposed before opening
Euston_Square_circle,Euston Square,51.52584,-0.1357,"Circle, Hammersmith & City, Metropolitan",No (Stairs from platform level),Camden,1,10 January 1863,Gower Street: 1863–1909
Fairlop,Fairlop,51.59634,0.09125,Central,,Redbridge,4,31 May 1948,
Farringdon_circle_base,Farringdon,51.520086,-0.104789,"Circle, Hammersmith & City, Metropolitan, Circle",No (Stairs to/from platform level),Islington,1,10 January 1863resited 23 December 1865,Farringdon Street: 1863–1922Farringdon & High Holborn: 1922–36
Farringdon_circle_top,Farringdon,51.520086,-0.104789,"Circle, Hammersmith & City, Metropolitan, Circle",No (Stairs to/from platform level),Islington,1,10 January 1863resited 23 December 1865,Farringdon Street: 1863–1922Farringdon & High Holborn: 1922–36
Farringdon_elizabeth_base,Farringdon,51.520086,-0.104789,Elizabeth,No (Stairs to/from platform level),Islington,1,10 January 1863resited 23 December 1865,Farringdon Street: 1863–1922Farringdon & High Holborn: 1922–36
Farringdon_elizabeth_top,Farringdon,51.520086,-0.104789,Elizabeth,No (Stairs to/from platform level),Islington,1,10 January 1863resited 23 December 1865,Farringdon Street: 1863–1922Farringdon & High Holborn: 1922–36
Finchley_Central,Finchley Central,51.60102,-0.1924,Northern,,Barnet,4,14 April 1940,Finchley & Hendon: 1867–72Finchley: 1872–96Finchley (Church End): 1896–1940
Finchley_Road,Finchley Road,51.546701,-0.179867,"Jubilee, Metropolitan",No (Steps to/from platform level),Camden,2,30 June 1879,
Finchley_Road_and_Frognal,Finchley Road and Frognal,51.54994,-0.18412,London Overground,,Camden,2,30 June 1879,
Finsbury_Park,Finsbury Park,51.56498,-0.10543,"Piccadilly, Victoria",No (Steps at subsurface level),Islington,2,15 December 1906,
Forest_Gate,Forest Gate,,,Elizabeth,,,3,,
Forest_Hill,Forest Hill,,,London Overground,,,3,,
Fulham_Broadway,Fulham Broadway,51.48033,-0.19488,District,Unsure,Hammersmith and Fulham,2,1 March 1880,Walham Green: 1880–1952
Gallions_Reach,Gallions Reach,51.509111,0.071911,DLR,All DLR stations are step-free.,Newham,3,28 March 1994[6],–
Gants_Hill,Gants Hill,51.57649,0.06637,Central,,Redbridge,4,14 December 1947,Ilford North/Cranbrook: Proposed before opening
Gidea_Park,Gidea Park,,,,,,6,,
Gloucester_Road,Gloucester Road,51.49408266,-0.17295341,"Circle, District, Piccadilly",,Kensington and Chelsea,1,1 October 1868,Brompton (Gloucester Road): 1868–1907
Golders_Green,Golders Green,51.57249,-0.1941,Northern,,Barnet,3,22 June 1907,
Goldhawk_Road_circle,Goldhawk Road,51.501248,-0.226776,"Hammersmith & City, Circle",,Hammersmith and Fulham,2,1 April 1914,
Goldhawk_Road_hnc,Goldhawk Road,51.501248,-0.226776,"Hammersmith & City, Circle",,Hammersmith and Fulham,2,1 April 1914,
Goodge_Street,Goodge Street,51.5206,-0.13441,Northern,Unsure ( Certainly has lifts),Camden,1,22 June 1907,Tottenham Court Road: 1907–08
Goodmayes,Goodmayes,,,Elizabeth,,,4,,
Gospel_Oak,Gospel Oak,51.55597,-0.15228,London Overground,,Camden,1,22 June 1907,Tottenham Court Road: 1907–08
Grange_Hill,Grange Hill,51.61326,0.09258,Central,,Redbridge,4,21 November 1948,
Great_Portland_Street_circle,Great Portland Street,51.52391,-0.14397,"Circle, Hammersmith & City, Metropolitan, Circle",No (Steps to/from platform level),City of Westminster,1,10 January 1863,Portland Road: 1863–1917Great Portland Street: 1917–23Great Portland Street & Regent's Park: 1923–33
Great_Portland_Street_hnc,Great Portland Street,51.52391,-0.14397,"Circle, Hammersmith & City, Metropolitan, Circle",No (Steps to/from platform level),City of Westminster,1,10 January 1863,Portland Road: 1863–1917Great Portland Street: 1917–23Great Portland Street & Regent's Park: 1923–33
Great_Portland_Street_metropolitan,Great Portland Street,51.52391,-0.14397,"Circle, Hammersmith & City, Metropolitan, Circle",No (Steps to/from platform level),City of Westminster,1,10 January 1863,Portland Road: 1863–1917Great Portland Street: 1917–23Great Portland Street & Regent's Park: 1923–33
Green_Park,Green Park,51.50674,-0.14276,"Jubilee, Piccadilly, Victoria",Unsure ( Certainly escalators at subsurface),City of Westminster,1,10 January 1863,Portland Road: 1863–1917Great Portland Street: 1917–23Great Portland Street & Regent's Park: 1923–33
Greenford,Greenford,51.542346,-0.345903,Central,,City of Westminster,1,15 December 1906,Dover Street: 1906–33
Greenwich,Greenwich,51.478016,-0.015391,DLR,All DLR stations are step-free.,Greenwich,2 & 3,20 November 1999[6],–
Gunnersbury,Gunnersbury,51.49126844,-0.275554312,District,,Hounslow,3,1 June 1877,Brentford Road: 1869–71
Hackney_Central,Hackney Central,51.54689,-0.05784,London Overground,,Hounslow,3,1 June 1877,Brentford Road: 1869–71
Hackney_Downs,Hackney Downs,,,London Overground,,,2,,
Hackney_Wick,Hackney Wick,51.54348,-0.02474,London Overground,,Hounslow,3,1 June 1877,Brentford Road: 1869–71
Haggerston,Haggerston,,,London Overground,,,1,,
Hainault,Hainault,51.60288,0.09332,Central,,Redbridge,4,31 May 1948,
Hammersmith_circle,Hammersmith (H&C Line),51.49419075,-0.225964953,"Hammersmith & City, Circle",,Hammersmith and Fulham,2,13 June 1864resited 1 December 1868,
Hammersmith_district,Hammersmith (Dist&Picc Line),51.492328,-0.222825,"District, Piccadilly",,Hammersmith and Fulham,2,13 June 1864resited 1 December 1868,
Hampstead,Hampstead,51.55645,-0.17851,Northern,Unsure (Has lifts),Camden,2 & 3,22 June 1907,Heath Street: Proposed before opening
Hampstead_Heath,Hampstead Heath,51.55533,-0.16656,London Overground,,Camden,2 & 3,22 June 1907,Heath Street: Proposed before opening
Hanger_Lane,Hanger Lane,51.53,-0.2929,Central,,Ealing,3,30 June 1947,
Hanwell,Hanwell,,,Elizabeth,,,4,,
Harlesden_bakerloo,Harlesden,51.53628278,-0.257622488,"Bakerloo, London Overground",,Brent,3,16 April 1917,
Harlesden_overground,Harlesden,51.53628278,-0.257622488,"Bakerloo, London Overground",,Brent,3,16 April 1917,
Harold_Wood,Harold Wood,,,Elizabeth,,,6,,
Harringay_Green_Lanes,Harringay Green Lanes,,,London Overground,,,3,,
Harrow_and_Wealdstone,Harrow & Wealdstone,51.59205973,-0.334725352,Bakerloo,,Harrow,5,16 April 1917,Harrow: 1837–97
Harrow_on_the_Hill,Harrow-on-the-Hill,51.579335,-0.337052,Metropolitan,Steps (from street) and (to/from Platforms),Harrow,5,2 August 1880,Harrow: 1880–94
Hatch_End,Hatch End,,,London Overground,,,6,,
Hatton_Cross,Hatton Cross,51.466988,-0.423035,Piccadilly,,Hillingdon,5 & 6,19 July 1975,
Hayes_and_Harlington,Hayes and Harlington,,,Elizabeth,,,5,,
Headstone_Lane,Headstone Lane,,,London Overground,,,5,,
Heathrow_23,Heathrow Terminals 1-2-3,51.4712899,-0.4527438,Piccadilly,,Hillingdon,6,27 March 2008,
Heathrow_4_elizabeth,Heathrow Terminal 4,51.4594777,-0.44689658,"Piccadilly, Elizabeth",,Hillingdon,6,12 April 1986,
Heathrow_4_piccadilly,Heathrow Terminal 4,51.4594777,-0.44689658,"Piccadilly, Elizabeth",,Hillingdon,6,12 April 1986,
Heathrow_5_elizabeth,Heathrow Terminal 5,,,"Piccadilly, Elizabeth",,,6,,
Heathrow_5_Piccadilly,Heathrow Terminal 5,,,"Piccadilly, Elizabeth",,,6,,
Heathrow_Central,Heathrow Central,,,Elizabeth,,,6,,
Hendon_Central,Hendon Central,51.58346,-0.22653,Northern,,Barnet,3 & 4,19 November 1923,
Heron_Quays,Heron Quays,51.5046489,-0.0207681,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],Heron Wharf[15]
High_Barnet,High Barnet,51.6506519,-0.194138166,Northern,,Barnet,5,14 April 1940,
High_Street_Kensington_circle,High Street Kensington,51.50034591,-0.192351664,"Circle, District",No ( Steps to/from platform),Kensington and Chelsea,1,1 October 1868,Kensington: Proposed before opening
High_Street_Kensington_district,High Street Kensington,51.50034591,-0.192351664,"Circle, District",No ( Steps to/from platform),Kensington and Chelsea,1,1 October 1868,Kensington: Proposed before opening
Highams_Park,HIghams Park,,,London Overground,,,4,,
Highbury_and_Islington,Highbury & Islington,51.54502,-0.10752,"London Overground, Victoria, Northern City",,Kensington and Chelsea,1,1 October 1868,Kensington: Proposed before opening
Highgate,Highgate,51.57722,-0.14553,Northern,No (Escaltors to platform level),Kensington and Chelsea,1,1 October 1868,Kensington: Proposed before opening
Hillingdon_metropolitan,Hillingdon,51.55364,-0.45062,"Metropolitan, Piccadilly",,Hillingdon,6,10 December 1923resited 6 December 1992,Hillingdon: 1923–34Hillingdon (Swakeleys) 1934– suffix gradually dropped
Hillingdon_piccadilly,Hillingdon,51.55364,-0.45062,"Metropolitan, Piccadilly",,Hillingdon,6,10 December 1923resited 6 December 1992,Hillingdon: 1923–34Hillingdon (Swakeleys) 1934– suffix gradually dropped
Holborn,Holborn,51.51711,-0.12055,"Central, Piccadilly",Unsure,Camden,1,15 December 1906,Holborn: 1906–1933Holborn (Kingsway): 1933– suffix gradually dropped
Holland_Park,Holland Park,51.50722,-0.20553,Central,,Kensington and Chelsea,2,30 July 1900,Lansdown Road: Proposed before opening
Holloway_Road,Holloway Road,51.5529,-0.11278,Piccadilly,,Islington,2,15 December 1906,Holloway: Proposed before opening
Homerton,Homerton,51.5471,-0.04323,London Overground,,Islington,2,15 December 1906,Holloway: Proposed before opening
Honor_Oak_Park,Honor Oak Park,,,London Overground,,,3,,
Hornchurch,Hornchurch,51.55387,0.21797,District,,Havering,6,2 June 1902,
Hounslow_Central,Hounslow Central,51.47129,-0.365853,Piccadilly,,Hounslow,4,1 April 1886,Heston Hounslow: 1886–1925
Hounslow_East,Hounslow East,51.47354,-0.356,Piccadilly,,Hounslow,4,2 May 1909,Hounslow Town: 1909–25
Hounslow_West,Hounslow West,51.473689,-0.386471,Piccadilly,Lift for wheelchair users only.,Hounslow,5,21 July 1884,Hounslow Barracks: 1884–1925
Hoxton,Hoxton,,,London Overground,,,"1,2",,
Hyde_Park_Corner,Hyde Park Corner,51.50313,-0.15278,Piccadilly,,City of Westminster,1,15 December 1906,
Ickenham,Ickenham,51.56147,-0.44257,"Metropolitan, Piccadilly",,Hillingdon,6,25 September 1905,
Ilford,Ilford,,,Elizabeth,,,4,,
Imperial_Wharf,Imperial Wharf,,,London Overground,,,2,,
Island_Gardens,Island Gardens,51.488001,-0.011039,DLR,All DLR stations are step-free.,Tower Hamlets,2,31 August 1987[6],"North Greenwich, Cubitt Town[19]"
Iver,Iver,,,Elizabeth,,,,,
Kennington,Kennington,51.48823,-0.10587,Northern,,Southwark,1 & 2,18 December 1890,New Street: Proposed before opening
Kensal_Green_bakerloo,Kensal Green,51.53060655,-0.224253545,"Bakerloo, London Overground",,Brent,2,1 October 1916,
Kensal_Green_overground,Kensal Green,51.53060655,-0.224253545,"Bakerloo, London Overground",,Brent,2,1 October 1916,
Kensal_Rise,Kensal Rise,51.53387,-0.22145,London Overground,,Brent,2,1 October 1916,
Kensington_Olympia,Kensington (Olympia),51.49675,-0.20931,District,Yes ( Seem to recall it's a flat access from one side of the concourse),Kensington and Chelsea,2,1 July 1864,Kensington: 1844–68Kensington (Addison Road): 1868–1946
Kentish_Town,Kentish Town,51.55046,-0.14067,Northern,No ( Escalators to platform level),Camden,2,22 June 1907,
Kentish_Town_West,Kentish Town West,51.54776,-0.14708,London Overground,,Camden,2,22 June 1907,
Kenton,Kenton,51.58173809,-0.316870809,Bakerloo,,BrentHarrow,4,16 April 1917,
